estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,500,0.05,41,75.0,0.17496024744567168
calibrated-dr-cpo,500,0.05,42,75.0,0.1370067555218848
calibrated-dr-cpo,500,0.05,43,75.0,0.16369163897625877
calibrated-dr-cpo,500,0.05,44,75.0,0.14345927758628887
calibrated-dr-cpo,500,0.05,45,75.0,0.13772780155189815
calibrated-dr-cpo,500,0.05,46,75.0,0.09092922486513613
calibrated-dr-cpo,500,0.05,47,75.0,0.204501743824306
calibrated-dr-cpo,500,0.05,48,100.0,0.17622346654631274
calibrated-dr-cpo,500,0.05,49,75.0,0.1211326251041861
calibrated-dr-cpo,500,0.1,0,75.0,0.08971860447192848
calibrated-dr-cpo,500,0.1,1,75.0,0.09434929385138585
calibrated-dr-cpo,500,0.1,2,75.0,0.11815997674983475
calibrated-dr-cpo,500,0.1,3,100.0,0.1982044722482757
calibrated-dr-cpo,500,0.1,4,75.0,0.12023535372005867
calibrated-dr-cpo,500,0.1,5,75.0,0.1252742341987162
calibrated-dr-cpo,500,0.1,6,75.0,0.1415867824533653
calibrated-dr-cpo,500,0.1,7,75.0,0.19074138344159824
calibrated-dr-cpo,500,0.1,8,75.0,0.1392224021672399
calibrated-dr-cpo,500,0.1,9,75.0,0.16188149438331875
calibrated-dr-cpo,500,0.1,10,75.0,0.15255559226523985
calibrated-dr-cpo,500,0.1,11,100.0,0.18216382250495777
calibrated-dr-cpo,500,0.1,12,75.0,0.13292706327372636
calibrated-dr-cpo,500,0.1,13,100.0,0.13345011048140099
calibrated-dr-cpo,500,0.1,14,75.0,0.1524590704219032
calibrated-dr-cpo,500,0.1,15,75.0,0.10986860427756862
calibrated-dr-cpo,500,0.1,16,75.0,0.1010152089672865
calibrated-dr-cpo,500,0.1,17,75.0,0.12028539057634946
calibrated-dr-cpo,500,0.1,18,100.0,0.16343290399750304
calibrated-dr-cpo,500,0.1,19,75.0,0.10530970928876021
calibrated-dr-cpo,500,0.1,20,75.0,0.17992032482491366
calibrated-dr-cpo,500,0.1,21,75.0,0.12842729077039647
calibrated-dr-cpo,500,0.1,22,100.0,0.2992910086530346
calibrated-dr-cpo,500,0.1,23,75.0,0.11967736095188923
calibrated-dr-cpo,500,0.1,24,75.0,0.15915333088538275
calibrated-dr-cpo,500,0.1,25,100.0,0.15247878220383532
calibrated-dr-cpo,500,0.1,26,75.0,0.18555474039124636
calibrated-dr-cpo,500,0.1,27,75.0,0.12114444139178432
calibrated-dr-cpo,500,0.1,28,75.0,0.20210656719881664
calibrated-dr-cpo,500,0.1,29,75.0,0.1316812359423941
calibrated-dr-cpo,500,0.1,30,75.0,0.1005698549215887
calibrated-dr-cpo,500,0.1,31,75.0,0.12842965207136137
calibrated-dr-cpo,500,0.1,32,75.0,0.15282839004583026
calibrated-dr-cpo,500,0.1,33,75.0,0.1352198327544106
calibrated-dr-cpo,500,0.1,34,75.0,0.16825342946872324
calibrated-dr-cpo,500,0.1,35,75.0,0.11747535841024527
calibrated-dr-cpo,500,0.1,36,100.0,0.14187757308485838
calibrated-dr-cpo,500,0.1,37,75.0,0.15721988473249912
calibrated-dr-cpo,500,0.1,38,75.0,0.11922576205659902
calibrated-dr-cpo,500,0.1,39,75.0,0.1691082216189359
calibrated-dr-cpo,500,0.1,40,75.0,0.13735443801077646
calibrated-dr-cpo,500,0.1,41,75.0,0.17496024744567168
calibrated-dr-cpo,500,0.1,42,75.0,0.1370067555218848
calibrated-dr-cpo,500,0.1,43,75.0,0.16369163897625877
calibrated-dr-cpo,500,0.1,44,75.0,0.14345927758628887
calibrated-dr-cpo,500,0.1,45,75.0,0.13772780155189815
calibrated-dr-cpo,500,0.1,46,75.0,0.09092922486513613
calibrated-dr-cpo,500,0.1,47,75.0,0.204501743824306
calibrated-dr-cpo,500,0.1,48,100.0,0.17622346654631274
calibrated-dr-cpo,500,0.1,49,75.0,0.1211326251041861
calibrated-dr-cpo,500,0.25,0,75.0,0.08971860447192848
calibrated-dr-cpo,500,0.25,1,75.0,0.09434929385138585
calibrated-dr-cpo,500,0.25,2,75.0,0.11815997674983475
calibrated-dr-cpo,500,0.25,3,100.0,0.1982044722482757
calibrated-dr-cpo,500,0.25,4,75.0,0.12023535372005867
calibrated-dr-cpo,500,0.25,5,75.0,0.1252742341987162
calibrated-dr-cpo,500,0.25,6,75.0,0.1415867824533653
calibrated-dr-cpo,500,0.25,7,75.0,0.19074138344159824
calibrated-dr-cpo,500,0.25,8,75.0,0.1392224021672399
calibrated-dr-cpo,500,0.25,9,75.0,0.16188149438331875
calibrated-dr-cpo,500,0.25,10,75.0,0.15255559226523985
calibrated-dr-cpo,500,0.25,11,100.0,0.18216382250495777
calibrated-dr-cpo,500,0.25,12,75.0,0.13292706327372636
calibrated-dr-cpo,500,0.25,13,100.0,0.13345011048140099
calibrated-dr-cpo,500,0.25,14,75.0,0.1524590704219032
calibrated-dr-cpo,500,0.25,15,75.0,0.10986860427756862
calibrated-dr-cpo,500,0.25,16,75.0,0.1010152089672865
calibrated-dr-cpo,500,0.25,17,75.0,0.12028539057634946
calibrated-dr-cpo,500,0.25,18,100.0,0.16343290399750304
calibrated-dr-cpo,500,0.25,19,75.0,0.10530970928876021
calibrated-dr-cpo,500,0.25,20,75.0,0.17992032482491366
calibrated-dr-cpo,500,0.25,21,75.0,0.12842729077039647
calibrated-dr-cpo,500,0.25,22,100.0,0.2992910086530346
calibrated-dr-cpo,500,0.25,23,75.0,0.11967736095188923
calibrated-dr-cpo,500,0.25,24,75.0,0.15915333088538275
calibrated-dr-cpo,500,0.25,25,100.0,0.15247878220383532
calibrated-dr-cpo,500,0.25,26,75.0,0.18555474039124636
calibrated-dr-cpo,500,0.25,27,75.0,0.12114444139178432
calibrated-dr-cpo,500,0.25,28,75.0,0.20210656719881664
calibrated-dr-cpo,500,0.25,29,75.0,0.1316812359423941
calibrated-dr-cpo,500,0.25,30,75.0,0.1005698549215887
calibrated-dr-cpo,500,0.25,31,75.0,0.12842965207136137
calibrated-dr-cpo,500,0.25,32,75.0,0.15282839004583026
calibrated-dr-cpo,500,0.25,33,75.0,0.1352198327544106
calibrated-dr-cpo,500,0.25,34,75.0,0.16825342946872324
calibrated-dr-cpo,500,0.25,35,75.0,0.11747535841024527
calibrated-dr-cpo,500,0.25,36,100.0,0.14187757308485838
calibrated-dr-cpo,500,0.25,37,75.0,0.15721988473249912
calibrated-dr-cpo,500,0.25,38,75.0,0.11922576205659902
calibrated-dr-cpo,500,0.25,39,75.0,0.1691082216189359
calibrated-dr-cpo,500,0.25,40,75.0,0.13735443801077646
calibrated-dr-cpo,500,0.25,41,75.0,0.17496024744567168
calibrated-dr-cpo,500,0.25,42,75.0,0.1370067555218848
calibrated-dr-cpo,500,0.25,43,75.0,0.16369163897625877
calibrated-dr-cpo,500,0.25,44,75.0,0.14345927758628887
calibrated-dr-cpo,500,0.25,45,75.0,0.13772780155189815
calibrated-dr-cpo,500,0.25,46,75.0,0.09092922486513613
calibrated-dr-cpo,500,0.25,47,75.0,0.204501743824306
calibrated-dr-cpo,500,0.25,48,100.0,0.17622346654631274
calibrated-dr-cpo,500,0.25,49,75.0,0.1211326251041861
